station_id,HAND__m,AddressOID
13811876,11.7169209,1
13823736,32.3871613,2
13861324,24.9613094,3
13861324,4.7557373,4
13861324,16.6091328,5
13835383,11.0292749,6
13835383,10.6575727,7
13835383,10.7867842,8
13835383,11.468791,9
13835383,11.329936,10
13835383,10.9589033,11
13835383,10.6747847,12
13835383,10.621562,13
13835383,10.7435112,14
13835383,11.0775576,15
13835383,11.1235762,16
13835383,11.3931074,17
13835383,10.5203047,18
13835383,10.6186323,19
13835383,10.5188417,20
13835383,11.0074863,21
13835383,10.9466352,22
13846063,48.6289902,23
13846047,8.0848217,24
13846063,32.5886307,25
13847309,40.8261757,26
13835383,10.9645185,27
13835383,11.2054863,28
13835383,11.3971357,29
13859620,24.3837662,30
13859622,16.4521637,31
13859622,16.3081226,32
13859622,17.3691578,33
13859622,17.5511646,34
13859622,16.3193531,35
13859622,16.5335865,36
13859616,66.0315018,37
13859616,118.0473557,38
13859620,25.9583073,39
13859620,25.907629,40
13859622,18.0346851,41
13859622,18.2008228,42
13859622,16.0775299,43
13859622,15.959733,44
13859622,17.0987701,45
13861312,16.6476192,46
13861312,16.3928585,47
13861312,25.7412682,48
13861304,20.362299,49
13861304,19.5566368,50
13861304,20.5878887,51
13861304,19.935297,52
13861304,20.5561466,53
13861304,19.97509,54
13861304,20.7288761,55
13861304,20.2119007,56
13861304,20.6104603,57
13861304,20.7941761,58
13861304,20.7322884,59
13861304,20.1861458,60
13861304,21.5616436,61
13861304,21.0633488,62
13861304,21.5300274,63
13861304,21.8250713,64
13861304,21.6066875,65
13861304,20.8558331,66
13861304,21.206049,67
13861304,21.9816837,68
13861304,21.4157658,69
13861304,21.7753849,70
13861304,22.1373234,71
13861304,21.5056038,72
13861304,21.8842659,73
13861304,22.2609749,74
13861304,21.2973518,75
13861304,21.9799633,76
13861304,21.2073803,77
13861304,21.6584301,78
13861304,21.2808685,79
13861304,21.5211048,80
13861304,21.0728607,81
13861304,21.3401947,82
13861304,21.2722359,83
13861312,22.2946682,84
13861304,22.1978741,85
13861304,22.6146202,86
13861304,22.4051495,87
13861304,22.5230694,88
13861304,22.2488995,89
13861304,22.5494328,90
13861304,22.6689415,91
13861304,22.4852276,92
13861304,22.5742188,93
13861304,22.7259521,94
13861304,22.4376202,95
13861304,22.5355206,96
13861304,22.6326885,97
13861304,22.8044415,98
13861304,22.8050499,99
13861304,22.7050724,100
13861304,22.4930363,101
13861304,22.5038948,102
13861304,22.6050873,103
13861304,22.7441273,104
13861304,22.5065765,105
13861304,22.021225,106
13861304,22.2914906,107
13861304,21.8985462,108
13861304,30.3474884,109
13861304,30.1353741,110
13861312,22.8970165,111
13861312,23.1220188,112
13861304,22.9051476,113
13861304,23.0339317,114
13861304,23.2050743,115
13861304,22.8975811,116
13861304,23.3056602,117
13861304,23.0034161,118
13861304,23.5176983,119
13861304,23.4041729,120
13861304,23.077879,121
13861304,22.9446983,122
13861304,23.4564075,123
13861304,23.5241699,124
13861304,23.4282227,125
13861304,23.2411995,126
13861304,22.8535042,127
13861304,22.6948128,128
13861304,30.8180866,129
13861304,31.0945206,130
13861304,30.547823,131
13861304,30.6374493,132
13861304,30.1350079,133
13861304,29.9780254,134
13861304,20.6017914,135
13861304,20.6157055,136
13861304,21.7683086,137
13861304,22.2534046,138
13861304,23.3045521,139
13861304,23.0777454,140
13861304,22.3433781,141
13861304,31.2444973,142
13861304,21.7239971,143
13861304,20.2492619,144
13861304,20.4710636,145
13861304,20.578474,146
13861304,20.6241283,147
13861304,20.5846996,148
13861312,19.208168,149
13861304,20.4905968,150
13861304,29.8203182,151
13827082,0,152
13827082,9.1633949,153
13824090,9.0757608,154
13823638,2.4825878,155
13836099,6.5330224,156
13861304,19.687006,157
13861304,23.2214336,158
13861304,29.5787334,159
13861304,22.8192005,160
13861304,19.8195763,161
13861304,22.6287823,162
13859622,16.6694508,163
13862358,50.1296616,164
13861322,75.0418015,165
13827348,12.756547,166
13861304,21.7032413,167
13861304,22.437006,168
13861304,22.9051456,169
13861304,23.2812443,170
13827348,3.0843873,171
13823710,31.4274349,172
13811876,6.8721318,173
13811876,7.6680636,174
13811876,6.8635831,175
13825104,38.0799103,176
13861498,47.4867973,177
13862358,7.1163344,178
13847311,59.304081,179
13847311,51.6381454,180
13847311,76.105423,181
13847317,49.9084625,182
13846063,54.0833893,183
13847309,15.0577602,184
13846063,36.3219147,185
13846063,36.1535187,186
13846063,36.0671005,187
13846063,35.6768913,188
13859622,16.0450592,189
13859622,15.9013824,190
13859622,16.1931305,191
13859620,36.2887192,192
13859620,36.488308,193
13859622,30.3631973,194
13859622,15.680069,195
13859616,99.4132233,196
13859622,15.0700846,197
13859622,14.978651,198
13859622,14.9646139,199
13859622,14.9692545,200
13859622,15.7595387,201
13859622,15.166276,202
13859622,15.3557272,203
13859622,14.9803629,204
19995177,7.0795631,205
13846321,1.7429131,206
19995779,,207
13846319,32.7299881,208
13847167,28.9886742,209
13861320,15.0694132,210
13861312,23.3325424,211
13861312,23.6036167,212
13861304,23.5047474,213
13861304,23.6787548,214
13861304,24.0086632,215
13861304,23.8249493,216
13861304,24.1950645,217
13861304,23.8040752,218
13861304,23.9605694,219
13861304,23.7591457,220
13861304,24.3352623,221
13861304,31.6705322,222
